name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bar,bakery,liquor_store,store,meal_takeaway,cafe,meal_delivery,spa,lodging,grocery_or_supermarket,night_club,supermarket,convenience_store
Restaurant Les Chauvins Père & Fils,"3 Rue du Faisan, Strasbourg","Rue du Faisan,",48.5833917,7.7532083,1,4.8,564,2707,36.24613969912004,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasserie Des Haras,"23 Rue des Glacières, Strasbourg","Rue des Glacières,",48.5776295,7.7427847,2,4.6,1687,7760,36.004729379909975,7,9,"(4.5, 4.6]","(853.2, inf]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
La Cloche à Fromage RESTAURANT,"27 Rue des Tonneliers, Strasbourg","Rue des Tonneliers,",48.5806889,7.748669399999999,3,4.6,1543,7097,35.82648325989047,7,9,"(4.5, 4.6]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au Crocodile,"10 Rue de l'Outre, Strasbourg","Rue de l'Outre,",48.5836592,7.747496700000001,4,4.7,719,3379,35.51662578479955,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Transsiberien,"3 Ruelle de la Bruche, Strasbourg","Ruelle de la Bruche,",48.58042859999999,7.756908299999999,5,4.8,388,1862,35.46639228285219,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Jasmin,"1 Rue Schimper, Strasbourg","Rue Schimper,",48.5873576,7.7686898,6,4.8,372,1785,35.37860611143311,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmonie Bowl and Juice,"5 Rue Saint-Étienne, Strasbourg","Rue Saint-Étienne,",48.5830797,7.755178599999999,7,4.8,372,1785,35.37860611143311,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O. friend's,"61 Rue du Faubourg-de-Pierre, Strasbourg","Rue du Faubourg-de-Pierre,",48.5897158,7.7449012,8,4.9,197,965,35.252884508191805,9,5,"(4.8, inf]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chez Rita,"7 Rue des Tonneliers, Strasbourg","Rue des Tonneliers,",48.5799643,7.7492654,9,4.8,338,1622,35.17880016133274,8,6,"(4.6, 4.8]","(248.0, 347.0]","['restaurant', 'bakery', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Santa Elena,"11 Rue Sainte-Hélène, Strasbourg","Rue Sainte-Hélène,",48.5821419,7.7443733,10,4.7,586,2754,35.09911879528503,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Devil's Mill Crêperie,"29 Rue Finkwiller, Strasbourg","Rue Finkwiller,",48.5790825,7.7416254,11,4.7,586,2754,35.09911879528503,8,8,"(4.6, 4.8]","(498.8, 853.2]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
La Fignette,"5 Rue de la Vignette, Strasbourg","Rue de la Vignette,",48.5824612,7.7426774,12,4.5,1861,8374,34.96385867908845,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Skaechele,"8 Rue de l'Argile, Strasbourg","Rue de l'Argile,",48.5823133,7.742742799999998,13,4.7,545,2561,34.95106356070022,8,8,"(4.6, 4.8]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La Cruche,"4 Rue des Tonneliers, Strasbourg","Rue des Tonneliers,",48.5797837,7.7495669,14,5.0,94,470,34.86563926799849,9,3,"(4.8, inf]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Delicious Food,"25 Rue de Molsheim, Strasbourg","Rue de Molsheim,",48.575855,7.731656500000002,15,4.9,158,774,34.78341972607668,9,4,"(4.8, inf]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au Cruchon,"11 Rue des Pucelles, Strasbourg","Rue des Pucelles,",48.583934,7.753868999999999,16,4.7,486,2284,34.71719046553278,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Houmous & Co (Lebanon Resturant),"11 Rue de la Division Leclerc, Strasbourg","Rue de la Division Leclerc,",48.5798937,7.7477963,17,4.6,868,3992,34.67719073581186,7,9,"(4.5, 4.6]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Damas Restaurant,"10 Passage de Londres - Cour de Cambridge, Strasbourg","Passage de Londres - Cour de Cambridge,",48.5779554,7.770677000000001,18,4.9,148,725,34.6442824054353,9,4,"(4.8, inf]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L'atelier 116,"116 Grand'Rue, Strasbourg","Grand'Rue,",48.5814169,7.7442273,20,4.5,1569,7060,34.63030324614122,6,9,"(4.4, 4.5]","(853.2, inf]","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
La Patrie,"1 Rue des Balayeurs, Strasbourg","Rue des Balayeurs,",48.57982639999999,7.7609138,21,4.7,440,2068,34.51422757948508,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Code Bar,"39 Rue du Vieil-Hôpital, Strasbourg","Rue du Vieil-Hôpital,",48.58116399999999,7.749595,22,4.6,776,3569,34.45336391778766,7,8,"(4.5, 4.6]","(498.8, 853.2]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Musa Restaurant,"23 Rue Adolphe Seyboth, Strasbourg","Rue Adolphe Seyboth,",48.5819007,7.7389961,23,4.9,132,646,34.40081226290867,9,4,"(4.8, inf]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Le Bistrot Des Cocottes,"5 Rue du Saumon, Strasbourg","Rue du Saumon,",48.582199,7.746632999999999,24,4.7,412,1936,34.38001691535573,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant La Coccinelle,"22 Rue Sainte-Madeleine, Strasbourg","Rue Sainte-Madeleine,",48.5792206,7.7543326,25,4.8,228,1094,34.35808726560218,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La Cuiller à Pot,"18b Rue Finkwiller, Strasbourg","Rue Finkwiller,",48.5787291,7.7425071,26,4.9,129,632,34.35188958046632,9,4,"(4.8, inf]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabiru Café,"60 Rue de Zurich, Strasbourg","Rue de Zurich,",48.57876940000001,7.7587553,27,4.8,222,1065,34.30249427736307,8,5,"(4.6, 4.8]","(184.0, 248.0]","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Restaurant Matsumotoya,"67000, 13 Rue des Veaux, Strasbourg","13 Rue des Veaux,",48.582342,7.754867,28,4.5,1315,5917,34.285165887716,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tibetan Momos,"12 Grand'Rue, Strasbourg","Grand'Rue,",48.5825688,7.739530899999999,29,4.6,704,3238,34.25883423205371,7,8,"(4.5, 4.6]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MILLENIUM TACOS,"6 Boulevard Leblois, Strasbourg","Boulevard Leblois,",48.581333,7.770597,30,4.7,387,1818,34.25224153558889,8,7,"(4.6, 4.8]","(347.0, 498.8]","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Hadiqa centre,"14 Rue du Vieux-Marché-aux-Vins, Strasbourg","Rue du Vieux-Marché-aux-Vins,",48.5836458,7.7412652,32,4.9,121,592,34.21564831455061,9,3,"(4.8, inf]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honesty Restaurant Strasbourg,"2 Quai Finkwiller, Strasbourg","Quai Finkwiller,",48.5787888,7.743476399999999,33,4.9,120,588,34.197988105633364,9,3,"(4.8, inf]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Chefs d’Oeuvre d'Alsace,"8 Grand'Rue, Strasbourg","Grand'Rue,",48.58258439999999,7.739464800000001,34,4.7,375,1762,34.18794695832028,8,7,"(4.6, 4.8]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Gurtlerhoft,"13 Place de la Cathédrale, Strasbourg","Place de la Cathédrale,",48.58187649999999,7.749532500000003,35,4.4,2310,10164,34.159892711525444,5,9,"(4.3, 4.4]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Rimini,"1 Rue des Veaux, Strasbourg","Rue des Veaux,",48.5817219,7.753571300000001,36,4.5,1229,5530,34.15298347298904,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Innocents,"4 Rue Paul Muller Simonis, Strasbourg","Rue Paul Muller Simonis,",48.5892496,7.749435699999999,37,4.6,664,3054,34.14197316509288,7,8,"(4.5, 4.6]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Le Kuhn,"15 Rue Kuhn, Strasbourg","Rue Kuhn,",48.5848711,7.737640300000002,38,4.5,1217,5476,34.13380760203529,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au Bistrot du Quai,"11 Quai des Pêcheurs, Strasbourg","Quai des Pêcheurs,",48.5831038,7.758094500000001,39,4.8,196,940,34.04282914251108,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinnamon - Restaurant Indien,"15 Rue de la Division Leclerc, Strasbourg","Rue de la Division Leclerc,",48.57969850000001,7.748008900000001,40,4.5,1125,5062,33.98018635101322,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au Cèdre,"1 Rue du Saint-Gothard, Strasbourg","Rue du Saint-Gothard,",48.57883699999999,7.756664999999999,41,4.5,1105,4972,33.94513025109509,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Banquet des Sophistes,"5 Rue d'Austerlitz, Strasbourg","Rue d'Austerlitz,",48.5787779,7.7520478,42,4.6,596,2741,33.926132794805085,7,8,"(4.5, 4.6]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UTOPIE,"10 Petite Rue des Dentelles, Strasbourg","Petite Rue des Dentelles,",48.5816707,7.743014700000001,43,4.9,104,509,33.89346336256403,9,3,"(4.8, inf]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Slaughterhouse Coffee,"1 Quai Charles Altorffer, Strasbourg","Quai Charles Altorffer,",48.58166199999999,7.737757999999999,44,4.4,1974,8685,33.859527452667926,5,9,"(4.3, 4.4]","(853.2, inf]","['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
Vélicious Burger,"20 Grand'Rue, Strasbourg","Grand'Rue,",48.58249,7.7398077,45,4.5,1042,4689,33.830404735335776,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Insulaire,"8 Rue des Tonneliers, Strasbourg","Rue des Tonneliers,",48.5798435,7.7495139,46,5.0,58,290,33.81713996781468,9,2,"(4.8, inf]","(36.6, 78.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ORO Restaurant boutique,"7 Rue de la Chaîne, Strasbourg","Rue de la Chaîne,",48.5808084,7.746158500000001,47,4.9,100,490,33.81,9,3,"(4.8, inf]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMA Nikkei Food & Drinks,"18 Rue Hannong, Strasbourg","Rue Hannong,",48.5831986,7.742831699999999,48,4.7,292,1372,33.677299401807566,8,6,"(4.6, 4.8]","(248.0, 347.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Funambules Strasbourg,"17 Rue Geiler, Strasbourg","Rue Geiler,",48.58701989999999,7.767711099999999,49,4.7,285,1339,33.62777084204,8,6,"(4.6, 4.8]","(248.0, 347.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zehnerglock,"4 Rue du Vieil-Hôpital, Strasbourg","Rue du Vieil-Hôpital,",48.58043239999999,7.750519600000001,50,4.6,511,2350,33.618736140619674,7,8,"(4.5, 4.6]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamas,"4 Rue du Bain-aux-Roses, Strasbourg","Rue du Bain-aux-Roses,",48.5811632,7.7528417,51,4.8,159,763,33.606706196738166,8,4,"(4.6, 4.8]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
House of Tanners Restaurant,"42 Rue du Bain-aux-Plantes, Strasbourg","Rue du Bain-aux-Plantes,",48.5814099,7.7418044,52,4.5,923,4153,33.5934076546166,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clothes Line,"2 Place Benjamin Zix, Strasbourg","Place Benjamin Zix,",48.5811975,7.7426199,53,4.2,6161,25876,33.55653507693232,3,9,"(4.1, 4.2]","(853.2, inf]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
La Hache,"11 Rue de la Douane, Strasbourg","Rue de la Douane,",48.57950159999999,7.749161200000001,55,4.4,1675,7370,33.54566517004061,5,9,"(4.3, 4.4]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Le D,"28 Rue Kuhn, Strasbourg","Rue Kuhn,",48.5850625,7.736994299999998,56,4.8,154,739,33.54009946001502,8,4,"(4.6, 4.8]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant 1741,"22 Quai des Bateliers, Strasbourg","Quai des Bateliers,",48.5805386,7.753577900000001,57,4.6,491,2258,33.53897486376565,7,7,"(4.5, 4.6]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Fines Gueules,"5 Rue Gustave Doré, Strasbourg","Rue Gustave Doré,",48.5830987,7.742253700000001,58,4.6,479,2203,33.489543361706986,7,7,"(4.5, 4.6]","(347.0, 498.8]","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chez l’Oncle Freddy,"9 Rue des Moulins, Strasbourg","Rue des Moulins,",48.5801835,7.742487500000002,59,4.5,870,3915,33.477836636783785,6,9,"(4.4, 4.5]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hey Mama,"3 Rue des Pucelles, Strasbourg","Rue des Pucelles,",48.583591,7.754212700000002,60,4.7,253,1189,33.38466644952634,8,6,"(4.6, 4.8]","(248.0, 347.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Habibi Strasbourg,"8 Rue de Leicester, Strasbourg","Rue de Leicester,",48.5777809,7.7712318,61,4.5,819,3685,33.35977755792189,6,8,"(4.4, 4.5]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Falafilo,"1 Rue de la Grange, Strasbourg","Rue de la Grange,",48.5830571,7.744264200000001,62,4.7,248,1165,33.34392289988322,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pour de Bon Strasbourg,"19 Quai des Pêcheurs, Strasbourg","Quai des Pêcheurs,",48.5836426,7.7586244,63,4.8,138,662,33.31141961472593,8,4,"(4.6, 4.8]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
What the Cake,"51 Rue du Fossé-des-Tanneurs, Strasbourg","Rue du Fossé-des-Tanneurs,",48.58216539999999,7.743214699999998,64,4.6,434,1996,33.292452755757544,7,7,"(4.5, 4.6]","(347.0, 498.8]","['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Pierre Bois et Feu,"6 Rue du Bain-aux-Roses, Strasbourg","Rue du Bain-aux-Roses,",48.58126619999999,7.752816899999999,65,4.7,238,1118,33.2599116981656,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Gavroche,"4 Rue Klein, Strasbourg","Rue Klein,",48.5785671,7.752950399999999,67,4.7,228,1071,33.17229378090214,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Bazart,"9 Rue du Renard-Prêchant 7 et, Strasbourg","Rue du Renard-Prêchant 7 et,",48.5793189,7.757912,68,4.8,129,619,33.17083060943639,8,4,"(4.6, 4.8]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kebab House,"6 Rue des Bateliers, Strasbourg","Rue des Bateliers,",48.5807542,7.754954800000001,69,4.6,406,1867,33.15921975445509,7,7,"(4.5, 4.6]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitsch'n Bar,"8 Quai Charles Altorffer, Strasbourg","Quai Charles Altorffer,",48.58243150000001,7.737760599999998,70,4.5,736,3312,33.15095016451875,6,8,"(4.4, 4.5]","(498.8, 853.2]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bella Vita,"3 Rue Prechter, Strasbourg","Rue Prechter,",48.5830193,7.7583261,71,4.9,73,357,33.14028201459024,9,2,"(4.8, inf]","(36.6, 78.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abyssinia,"5 Rue des Païens, Strasbourg","Rue des Païens,",48.5835839,7.7370009,72,4.5,723,3253,33.11612233782539,6,8,"(4.4, 4.5]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Thomasien,"12 Rue des Dentelles, Strasbourg","Rue des Dentelles,",48.58063749999999,7.74334,73,4.5,720,3240,33.10799623394071,6,8,"(4.4, 4.5]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Umami,"8 Rue des Dentelles, Strasbourg","Rue des Dentelles,",48.5809325,7.743015299999998,74,4.7,216,1015,33.06193263040937,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Koholã Strasbourg - poke & salad bar,"19 Rue d'Austerlitz, Strasbourg","Rue d'Austerlitz,",48.57834980000001,7.752807499999999,75,4.8,122,585,33.05452718723879,8,3,"(4.6, 4.8]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAHI PAKWAN,"43 Rue Finkwiller, Strasbourg","Rue Finkwiller,",48.5789347,7.7426086,76,4.8,120,576,33.02006998102859,8,3,"(4.6, 4.8]","(78.0, 128.2]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Le Fossile,"6 petite rue Austerlitz, Place des Orphelins, Strasbourg","petite rue Austerlitz, Place des Orphelins,",48.57855540000001,7.753805299999999,77,4.5,687,3091,33.016305316767976,6,8,"(4.4, 4.5]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L'eveil des Sens,"Rue des Dentelles, Strasbourg","des Dentelles,",48.5809485,7.743305299999999,78,4.7,211,991,33.01412753989916,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant tunisien L'Odeur du pays,"35 Rue Finkwiller, Strasbourg","Rue Finkwiller,",48.5790357,7.7419243,79,4.7,210,987,33.00443068524942,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Corner - Bagel Donuts Café,"71 Grand'Rue, Strasbourg","Grand'Rue,",48.581864,7.743239300000001,80,4.8,117,561,32.96729213638157,8,3,"(4.6, 4.8]","(78.0, 128.2]","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
DIM SUM SAM,"9 Rue de l'Abreuvoir, Strasbourg","Rue de l'Abreuvoir,",48.5793402,7.760417200000001,81,4.6,363,1669,32.93557047516612,7,7,"(4.5, 4.6]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Resto Onel مطعم اونيل العراقي,"8 Rue de Leicester, Strasbourg","Rue de Leicester,",48.5784411,7.771373399999999,82,4.7,201,944,32.9150214698763,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Pacific Princess,"1 Rue des Dentelles, Strasbourg","Rue des Dentelles,",48.5812864,7.742718099999998,83,4.7,200,940,32.904840979620715,8,5,"(4.6, 4.8]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerola,"8 Rue du Renard-Prêchant, Strasbourg","Rue du Renard-Prêchant,",48.5793952,7.757294900000001,85,4.6,355,1632,32.89105042405343,7,7,"(4.5, 4.6]","(347.0, 498.8]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Le Tonneau,"19 Rue du Fossé-des-Tanneurs, Strasbourg","Rue du Fossé-des-Tanneurs,",48.58322,7.744145000000001,86,4.5,643,2893,32.886949378159,6,8,"(4.4, 4.5]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ô Baozi,"49 Rue du Jeu-des-Enfants, Strasbourg","Rue du Jeu-des-Enfants,",48.584062,7.743823899999999,87,4.8,111,532,32.85755029817595,8,3,"(4.6, 4.8]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Végéman,"18 Rue des Bateliers, Strasbourg","Rue des Bateliers,",48.57978639999999,7.756171099999998,88,4.6,347,1596,32.84551558403801,7,6,"(4.5, 4.6]","(248.0, 347.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
