name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bar,bakery,liquor_store,store,meal_takeaway,cafe,meal_delivery,spa,lodging,grocery_or_supermarket,night_club,supermarket,convenience_store
K'art M.s.,"36 Rue du Bain-aux-Plantes, Strasbourg","Rue du Bain-aux-Plantes,",48.5815439,7.7412631,513,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Bons Petits Plats de Papa,"23 Rue Brûlée, Strasbourg","Rue Brûlée,",48.5849299,7.7536904,514,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioburger Strasbourg,"38 Quai des Bateliers, Strasbourg","Quai des Bateliers,",48.5813558,7.755429699999998,515,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Maisons de Strasbourg,"5 Rue des Tailleurs de Pierre, Strasbourg","Rue des Tailleurs de Pierre,",48.58058359999999,7.750611899999998,516,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Resto by Amitel,"8 Rue de Soleure, Strasbourg","Rue de Soleure,",48.5777552,7.7548539,517,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Sky,"15 Rue d'Austerlitz, Strasbourg","Rue d'Austerlitz,",48.5785563,7.752483300000001,518,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ô Saveurs D'ailleurs,"2 Rue de Mutzig, Strasbourg","Rue de Mutzig,",48.580536,7.732587,519,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Serare,"13 Place de la Gare, Strasbourg","Place de la Gare,",48.5850424,7.736659800000001,520,5.0,2,10,26.505149978319906,9,0,"(4.8, inf]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Bartholdi,"31 Rue du Vieux-Marché-aux-Vins, Strasbourg","Rue du Vieux-Marché-aux-Vins,",48.5842574,7.742981599999998,521,3.9,767,2991,26.460701919401025,1,8,"(3.6, 3.9]","(498.8, 853.2]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Café Montmartre,France,France,48.5799789,7.750414699999999,522,4.0,407,1628,26.43837763690088,2,7,"(3.9, 4.1]","(347.0, 498.8]","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Le Fournil de la Victoire,"16 Boulevard de la Victoire, Strasbourg","Boulevard de la Victoire,",48.583249,7.76149,523,4.5,23,103,26.37777526207917,6,1,"(4.4, 4.5]","(8.8, 36.6]","['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Restaurant Francesca Strasbourg Marseillaise,"14 Avenue de la Marseillaise, Strasbourg","Avenue de la Marseillaise,",48.58523599999999,7.756130000000002,524,4.0,390,1560,26.364258428105998,2,7,"(3.9, 4.1]","(347.0, 498.8]","['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Les Glacières,"6 Rue Kirschleger, Strasbourg","Rue Kirschleger,",48.5771547,7.7415638,525,4.2,119,499,26.357297237848627,3,3,"(4.1, 4.2]","(78.0, 128.2]","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pizzeria Restaurant JAD,"75 Avenue de la Forêt-Noire, Strasbourg","Avenue de la Forêt-Noire,",48.58087829999999,7.776804199999999,526,4.2,118,495,26.341904430685727,3,3,"(4.1, 4.2]","(78.0, 128.2]","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Burger Club,"58 Avenue de la Forêt-Noire, Strasbourg","Avenue de la Forêt-Noire,",48.5834468,7.7710569,527,4.0,374,1496,26.291486408801923,2,7,"(3.9, 4.1]","(347.0, 498.8]","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Le Stern,"13 Rue de la Brigade Alsace-Lorraine, Strasbourg","Rue de la Brigade Alsace-Lorraine,",48.5760506,7.754467600000001,528,4.0,372,1488,26.28217175952759,2,7,"(3.9, 4.1]","(347.0, 498.8]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sheherazade,"8 Rue Jacques Peirotes, Strasbourg","Rue Jacques Peirotes,",48.57703780000001,7.7553038,529,4.1,204,836,26.279483686446184,2,5,"(3.9, 4.1]","(184.0, 248.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Baguettes d'Or,"3 Bis Rue Sainte-Catherine, Strasbourg","Bis Rue Sainte-Catherine,",48.5802814,7.756985100000001,530,4.2,114,478,26.279000375613187,3,3,"(4.1, 4.2]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Grand Tigre,"Impasse des Jardiniers, Strasbourg","des Jardiniers,",48.58234059999999,7.7372872,531,3.9,678,2644,26.251795806081546,1,8,"(3.6, 3.9]","(498.8, 853.2]","['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
La Grande Dame,"5 Rue Mercière, Strasbourg","Rue Mercière,",48.5813732,7.7494703,532,3.9,646,2519,26.16990682018083,1,8,"(3.6, 3.9]","(498.8, 853.2]","['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
La Cabane des Anges,"14 Rue du Bain Finkwiller, Strasbourg","Rue du Bain Finkwiller,",48.579108,7.743124399999999,533,4.4,35,154,26.153899395141217,5,1,"(4.3, 4.4]","(8.8, 36.6]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Village,"23 Rue de l'Observatoire, Strasbourg","Rue de l'Observatoire,",48.5814752,7.769664699999999,534,4.4,34,149,26.098507234985927,5,1,"(4.3, 4.4]","(8.8, 36.6]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yapan Sushi,"1 Quai des Pêcheurs, Strasbourg","Quai des Pêcheurs,",48.5822213,7.756833299999998,535,4.2,102,428,26.076120721400052,3,3,"(4.1, 4.2]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Comme à la maison,"8 Rue de la Division Leclerc, Strasbourg","Rue de la Division Leclerc,",48.5805272,7.7467272,536,4.1,179,733,26.04669742701756,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aux Trois Délices,"12 Rue Sengenwald, Strasbourg","Rue Sengenwald,",48.5774692,7.7523525,537,4.4,33,145,26.04146133546271,5,1,"(4.3, 4.4]","(8.8, 36.6]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Prince,"53 Rue du Faubourg-National, Strasbourg","Rue du Faubourg-National,",48.581964,7.733013799999998,538,3.9,597,2328,26.03629989140454,1,8,"(3.6, 3.9]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIKCUP Restaurant Coréen,"12 Rue de l'Académie, Strasbourg","Rue de l'Académie,",48.581502,7.7612599,539,4.1,175,717,26.006455999613802,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Balsamo,"7 Place de la Cathédrale, Strasbourg","Place de la Cathédrale,",48.5812353,7.750176199999999,540,4.2,95,399,25.946439142213162,3,3,"(4.1, 4.2]","(78.0, 128.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Madras,"7 Rue des Dentelles, Strasbourg","Rue des Dentelles,",48.5811583,7.742874999999999,542,4.0,305,1220,25.937199357387144,2,6,"(3.9, 4.1]","(248.0, 347.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant L'Ambassade Strasbourg,"7 Rue du Vieux-Marché-aux-Poissons, Strasbourg","Rue du Vieux-Marché-aux-Poissons,",48.580161,7.7497273,543,4.1,168,688,25.933768055076037,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bistro Polo,"11 Rue Sainte-Barbe, Strasbourg","Rue Sainte-Barbe,",48.5820155,7.745659300000001,544,4.1,165,676,25.901684171277015,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Ile de l'Oiseau,"1 Rue de Neuchâtel, Strasbourg","Rue de Neuchâtel,",48.5762027,7.757636099999999,545,4.1,162,664,25.86901155962478,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant L'Amuse-bouche,"3a Rue Turenne, Strasbourg","Rue Turenne,",48.588244,7.757796900000001,546,4.3,52,223,25.868814377629636,4,2,"(4.2, 4.3]","(36.6, 78.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Au Bon Vivant,"4 Place du Marché-aux-Cochons-de-Lait, Strasbourg","Place du Marché-aux-Cochons-de-Lait,",48.5804322,7.750874699999999,547,3.9,539,2102,25.86319618422828,1,8,"(3.6, 3.9]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Grand Shanghai,"40-42 Rue du Vieux-Marché-aux-Vins, Strasbourg","Rue du Vieux-Marché-aux-Vins,",48.5839282,7.743317600000001,548,3.7,1910,7067,25.82982345881659,1,9,"(3.6, 3.9]","(853.2, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
À la Tête de Lard,"3 Rue Hannong, Strasbourg","Rue Hannong,",48.58346299999999,7.7428456,549,3.9,527,2055,25.82506139932893,1,8,"(3.6, 3.9]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrefour City Strasbourg Vosges,"63 Avenue des Vosges, Strasbourg","Avenue des Vosges,",48.59020099999999,7.748634699999998,550,4.0,285,1140,25.81937944003404,2,6,"(3.9, 4.1]","(248.0, 347.0]","['supermarket', 'bakery', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
Hollyfood,Strasbourg,Strasbourg,48.57730429999999,7.7704027,551,4.1,155,635,25.790359962498194,2,4,"(3.9, 4.1]","(128.2, 184.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzanne,"25 Rue du Vingt-Deux Novembre, Strasbourg","Rue du Vingt-Deux Novembre,",48.58271,7.7439687,552,3.9,509,1985,25.766199351113357,1,8,"(3.6, 3.9]","(498.8, 853.2]","['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
La cuisine Emotionnelle,"14 Rue de l'Ail, Strasbourg","Rue de l'Ail,",48.57948619999999,7.747355499999998,553,4.7,6,28,25.747310876803127,8,0,"(4.6, 4.8]","(0.0, 8.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
