name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bakery,cafe,store,meal_takeaway,bar,liquor_store,grocery_or_supermarket,night_club,meal_delivery,book_store,movie_theater,tourist_attraction,lodging,school,parking,travel_agency,real_estate_agency,general_contractor,supermarket,gas_station,car_wash,convenience_store
Les Tontons Crêpeurs,"46 Allées Jean Jaurès, Toulouse",Allées Jean Jaurès,43.6065646,1.4505882,1652,4.3,11,47,22.96798854618037,3,1,"(4.1, 4.3]","(7.0, 22.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Table de 3,"63 Rue du Taur, Toulouse",Rue du Taur,43.60674559999999,1.4421671,1654,4.5,4,18,22.95926996097583,5,0,"(4.4, 4.5]","(0.0, 7.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umai Sushi,"2 Rue des Blanchers, Toulouse",Rue des Blanchers,43.6022622,1.4385095,1655,4.5,4,18,22.95926996097583,5,0,"(4.4, 4.5]","(0.0, 7.0]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Péniche Horizon,"Quai de la Daurade, Toulouse",de la Daurade,43.6015434,1.4382462,1657,3.9,96,374,22.940857808854314,1,4,"(3.6, 4.0]","(86.0, 133.5]","['restaurant', 'travel_agency', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Croq'Michel - Toulouse Saint-Cyprien,"6 Place Intérieure Saint-Cyprien, Toulouse",Place Intérieure Saint-Cyprien,43.5977493,1.4320118,1658,4.1,31,127,22.924582944720516,2,2,"(4.0, 4.1]","(22.0, 48.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croq'Michel - Toulouse centre,"41 Rue des Filatiers, Toulouse",Rue des Filatiers,43.59918940000001,1.4438179,1660,3.8,166,630,22.876410734552206,1,5,"(3.6, 4.0]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia Fast Food,"4 Rue de Bayard, Toulouse",Rue de Bayard,43.6082629,1.4468887,1661,3.6,567,2041,22.872899012014464,0,8,"(0.0, 3.6]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dounia Kebab,"7 Place Arnaud Bernard, Toulouse",Place Arnaud Bernard,43.6110292,1.4387375,1662,4.1,30,122,22.866197144350615,2,2,"(4.0, 4.1]","(22.0, 48.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFC Food,"29 Avenue de Grande Bretagne, Toulouse",Avenue de Grande Bretagne,43.5971727,1.421067,1664,3.7,293,1084,22.817410195310206,1,7,"(3.6, 4.0]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Palais De Shahrazade,"15 Place Arnaud Bernard, Toulouse",Place Arnaud Bernard,43.6109225,1.4393062,1666,4.1,29,118,22.805831791385714,2,2,"(4.0, 4.1]","(22.0, 48.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monop' MARCHE TOULOUSE,"1 Place Victor Hugo, Toulouse",Place Victor Hugo,43.60719,1.4465199,1669,3.8,157,596,22.78441867915509,1,5,"(3.6, 4.0]","(133.5, 195.0]","['supermarket', 'convenience_store', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LES MECS AU CAMION ALLÉES JULES GUESDE,"37 Allées Jules Guesde, Toulouse",Allées Jules Guesde,43.5944659,1.449834,1672,3.8,154,585,22.752578739178556,1,5,"(3.6, 4.0]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social,"12 Rue de la Trinité, Toulouse",Rue de la Trinité,43.5995929,1.4443467,1674,3.7,273,1010,22.703801794050797,1,6,"(3.6, 4.0]","(195.0, 283.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
