name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bakery,cafe,store,meal_takeaway,bar,liquor_store,grocery_or_supermarket,night_club,meal_delivery,book_store,movie_theater,tourist_attraction,lodging,school,parking,travel_agency,real_estate_agency,general_contractor,supermarket,gas_station,car_wash,convenience_store
La Cantine Des Sales Gosses,"81 Rue Pierre-Paul Riquet, Toulouse",Rue Pierre-Paul Riquet,43.606032,1.453933,1,4.8,1011,4852,37.462805546836805,8,9,"(4.7, 4.9]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIN-YA RAMEN,"62 Rue Lancefoc, Toulouse",Rue Lancefoc,43.6093187,1.432851,2,4.8,775,3720,36.90864817203028,8,9,"(4.7, 4.9]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh la vache!,"2 Rue d'Austerlitz, Toulouse",Rue d'Austerlitz,43.6054879,1.4475091,3,4.8,640,3072,36.509663875122655,8,8,"(4.7, 4.9]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Michel Sarran,"21 Boulevard Armand Duportal, Toulouse",Boulevard Armand Duportal,43.6072539,1.4345366,5,4.7,1094,5141,36.37338141338784,7,9,"(4.6, 4.7]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Corner - Bagel Donuts Café,"6 Rue du Taur, Toulouse",Rue du Taur,43.6052738,1.4427726,6,4.7,1057,4967,36.30315244034491,7,9,"(4.6, 4.7]","(667.0, inf]","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizzeria d'Alexis,"12 Rue de la République, Toulouse",Rue de la République,43.5986937,1.4359456,8,4.7,1057,4967,36.30315244034491,7,9,"(4.6, 4.7]","(667.0, inf]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le P'tit Louis,"32 Rue de la République, Toulouse",Rue de la République,43.59852739999999,1.4351843,10,4.9,316,1548,36.258466704830184,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crêperie Le Menhir,"14 Rue du Pont Guilheméry, Toulouse",Rue du Pont Guilheméry,43.601037,1.4570394,11,4.8,558,2678,36.22384415490038,8,8,"(4.7, 4.9]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bapz,"13 Rue de la Bourse, Toulouse",Rue de la Bourse,43.60061,1.442319,12,4.7,996,4681,36.18181889059139,7,9,"(4.6, 4.7]","(667.0, inf]","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Ethiopien Toulouse,"44 Rue des 7 Troubadours, Toulouse",Rue des 7 Troubadours,43.6069023,1.4528145,13,4.9,275,1347,35.962730199768295,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Restaurant,"30 Rue Peyrolières, Toulouse",Rue Peyrolières,43.6009739,1.4407977,15,4.8,488,2342,35.94441514561301,8,8,"(4.7, 4.9]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Détaillant,"17 Rue Peyrolières, Toulouse",Rue Peyrolières,43.6005911,1.4406896,17,4.9,253,1239,35.78529055376151,8,6,"(4.7, 4.9]","(195.0, 283.0]","['grocery_or_supermarket', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Delhi Palace,"42 Boulevard Lazare Carnot, Toulouse",Boulevard Lazare Carnot,43.6043379,1.4504689,19,4.9,252,1234,35.776862649829575,8,6,"(4.7, 4.9]","(195.0, 283.0]","['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N88DLES,"34 Rue de la Colombette, Toulouse",Rue de la Colombette,43.6045835,1.4526689,21,5.0,140,700,35.73064017839119,9,5,"(4.9, inf]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Grenier de Pépé,"1 Rue Denfert Rochereau, Toulouse",Rue Denfert Rochereau,43.60749790000001,1.4479067,23,4.7,780,3666,35.682844632645256,7,9,"(4.6, 4.7]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Bistrot des Galopins,"8 Place du Pont Neuf, Toulouse",Place du Pont Neuf,43.599529,1.4407796,25,4.9,241,1180,35.681883508616856,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Avenue,"12 Avenue Paul Séjourné, Toulouse",Avenue Paul Séjourné,43.6064787,1.4283888,27,4.9,239,1171,35.66414971464587,8,6,"(4.7, 4.9]","(195.0, 283.0]","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IORI,"20 Rue des Paradoux, Toulouse",Rue des Paradoux,43.59890410000001,1.4428497,28,4.7,760,3572,35.62982388371972,7,9,"(4.6, 4.7]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madame Bovary,"13 Rue Peyrolières, Toulouse",Rue Peyrolières,43.60048899999999,1.4407034,30,4.9,214,1048,35.42902748941104,8,6,"(4.7, 4.9]","(195.0, 283.0]","['book_store', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Curry Café,"22 Rue Saint-Rome, Toulouse",Rue Saint-Rome,43.60243459999999,1.4437439,32,4.8,369,1771,35.361726557563486,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cécile,"43 Place des Carmes, Toulouse",Place des Carmes,43.5974864,1.444595,34,4.8,357,1713,35.292807437338524,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meet The Meat,"18 Boulevard de Strasbourg, Toulouse",Boulevard de Strasbourg,43.607289,1.4473834,35,4.5,2188,9846,35.280212929476264,5,9,"(4.4, 4.5]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boca - Bar à montaditos,"45 Rue Peyrolières, Toulouse",Rue Peyrolières,43.60196,1.440841,37,4.7,630,2961,35.246900582431834,7,8,"(4.6, 4.7]","(418.0, 667.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Antidot burger,"10 Rue du Taur, Toulouse",Rue du Taur,43.6054158,1.4428083,39,5.0,110,550,35.20696342579113,9,4,"(4.9, inf]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Perche Pinte,"1 Rue Vélane, Toulouse",Rue Vélane,43.59714409999999,1.4481038,41,4.8,338,1622,35.17880016133274,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Café Cerise,"4 Quai de la Daurade, Toulouse",Quai de la Daurade,43.6000712,1.4403352,43,4.7,595,2796,35.130229738924186,7,8,"(4.6, 4.7]","(418.0, 667.0]","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ô Sorbet d'Amour,"28 Rue Montardy, Toulouse",Rue Montardy,43.603854,1.447266,45,4.7,584,2744,35.09214038142828,7,8,"(4.6, 4.7]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni'shimai,"2 Rue Joseph Lakanal, Toulouse",Rue Joseph Lakanal,43.6029901,1.4413838,46,4.7,583,2740,35.08864220736737,7,8,"(4.6, 4.7]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Filous Grecs - Restaurant Toulouse,"18 Rue d'Aubuisson, Toulouse",Rue d'Aubuisson,43.60363849999999,1.4518879,47,4.7,579,2721,35.07458924951895,7,8,"(4.6, 4.7]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boli Café,"31 Rue Léon Gambetta, Toulouse",Rue Léon Gambetta,43.60349189999999,1.4421853,49,4.6,1053,4843,35.063170507453236,6,9,"(4.5, 4.6]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Belle Verte,"50 Rue d'Aubuisson, Toulouse",Rue d'Aubuisson,43.6029486,1.4538139,51,4.7,575,2702,35.06043887004127,7,8,"(4.6, 4.7]","(418.0, 667.0]","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouche b,"36 Rue des Filatiers, Toulouse",Rue des Filatiers,43.5989839,1.444243,52,4.5,1934,8703,35.039054113861425,5,9,"(4.4, 4.5]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Teatro,"62 Rue Lancefoc, Toulouse",Rue Lancefoc,43.6093106,1.4328651,53,4.9,178,872,35.03705801131359,8,5,"(4.7, 4.9]","(133.5, 195.0]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osmoz By Huitres et compagnie,"26 Boulevard Pierre-Paul Riquet, Toulouse",Boulevard Pierre-Paul Riquet,43.60642479999999,1.4556972,54,4.8,313,1502,35.01861282022295,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Panache,"34 Rue des Filatiers, Toulouse",Rue des Filatiers,43.5988976,1.4441492,55,4.9,176,862,35.01301207228934,8,5,"(4.7, 4.9]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sixta,"28 Rue de Bayard, Toulouse",Rue de Bayard,43.6090581,1.4483148,56,4.8,305,1464,34.96463922886457,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxy,"2 Avenue Paul Séjourné, Toulouse",Avenue Paul Séjourné,43.6057029,1.4284614,58,4.7,539,2533,34.928467196377674,7,8,"(4.6, 4.7]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaumont Wilson,"3 Place du Président Thomas Wilson, Toulouse",Place du Président Thomas Wilson,43.6044878,1.4477603,60,4.3,6639,28547,34.92504147518176,3,9,"(4.1, 4.3]","(667.0, inf]","['movie_theater', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O'BALI,"46 Place Nicolas Bachelier, Toulouse",Place Nicolas Bachelier,43.6067053,1.4524758,62,4.7,538,2528,34.92467669563204,7,8,"(4.6, 4.7]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Safran,"8 Rue de la Bourse, Toulouse",Rue de la Bourse,43.6004965,1.4425463,64,4.8,299,1435,34.92322170395726,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burger'N'co,"20 Rue Pierre-Paul Riquet, Toulouse",Rue Pierre-Paul Riquet,43.6012093,1.4541798,66,4.6,976,4489,34.91146916126678,6,9,"(4.5, 4.6]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Le Place Mage,"2 Rue Tolosane, Toulouse",Rue Tolosane,43.5985019,1.4471902,67,4.8,295,1416,34.89514567669518,8,7,"(4.7, 4.9]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabaret Le Kalinka,"10 et 10 Bis Rue des Teinturiers, Toulouse",et 10 Bis Rue des Teinturiers,43.59682539999999,1.4343679,69,4.7,513,2411,34.82755161602554,7,8,"(4.6, 4.7]","(418.0, 667.0]","['night_club', 'tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vesubio pizzeria,"93 Rue de la Colombette, Toulouse",Rue de la Colombette,43.6048709,1.4562512,70,5.0,89,445,34.746950033224564,9,4,"(4.9, inf]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUGINI'S,"16 Rue Léon Gambetta, Toulouse",Rue Léon Gambetta,43.602469,1.4413132,71,4.8,272,1305,34.72593073936415,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racine Café,"64 Rue de la Colombette, Toulouse",Rue de la Colombette,43.604797,1.4546839,73,4.8,271,1300,34.718252596197146,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chez Marco,"30 Rue de Périgord, Toulouse",Rue de Périgord,43.60739239999999,1.4449862,75,4.9,153,749,34.71498801100624,8,5,"(4.7, 4.9]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Embargo,"35 Rue Nicolas Bachelier, Toulouse",Rue Nicolas Bachelier,43.6067753,1.4517211,77,4.7,484,2274,34.70877319972874,7,8,"(4.6, 4.7]","(418.0, 667.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Pastasciutta,"35Bis Rue Gabriel Péri, Toulouse",Rue Gabriel Péri,43.6062784,1.454838,79,4.5,1600,7200,34.66853992195166,5,9,"(4.4, 4.5]","(667.0, inf]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Petit Magre,"4 Rue Baronie, Toulouse",Rue Baronie,43.601616,1.445087,81,4.7,472,2218,34.65752739358021,7,8,"(4.6, 4.7]","(418.0, 667.0]","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le court circuit,"4 Rue Reclusane, Toulouse",Rue Reclusane,43.59866589999999,1.4337103,83,4.9,146,715,34.615328993343745,8,5,"(4.7, 4.9]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campagne,"32 bis Rue des Lois, Toulouse",bis Rue des Lois,43.6060463,1.4413924,85,4.8,257,1233,34.60767899199021,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Winter Garden,"2-4 Rue des Gestes, Toulouse",Rue des Gestes,43.6030056,1.4423056,86,4.6,800,3679,34.51421394016294,6,9,"(4.5, 4.6]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUGUEM,"6bis Impasse Baour Lormian, Toulouse",Impasse Baour Lormian,43.6027153,1.4442819,87,4.8,245,1176,34.50799720494975,8,6,"(4.7, 4.9]","(195.0, 283.0]","['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HITO,"26 Rue de la Fonderie, Toulouse",Rue de la Fonderie,43.5951686,1.4433746,88,4.9,138,676,34.49540752336606,8,5,"(4.7, 4.9]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant Une Table à Deux,"10 Rue de la Pleau, Toulouse",Rue de la Pleau,43.59679999999999,1.4470155,90,4.7,434,2039,34.4862017287088,7,8,"(4.6, 4.7]","(418.0, 667.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagué Restaurant Coréen,"123 Rue Achille Viadieu, Toulouse",Rue Achille Viadieu,43.59177999999999,1.4443692,91,4.9,137,671,34.4799307790664,8,5,"(4.7, 4.9]","(133.5, 195.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toroya Rolls,"42 Rue Pargaminières, Toulouse",Rue Pargaminières,43.604485,1.438677,92,4.8,241,1156,34.473681804359366,8,6,"(4.7, 4.9]","(195.0, 283.0]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauna Loa,"1 Place Dupuy, Toulouse",Place Dupuy,43.60017209999999,1.4533094,94,5.0,78,390,34.4604730134524,9,3,"(4.9, inf]","(48.0, 86.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinos pizza,"27 Rue de la République, Toulouse",Rue de la République,43.5986707,1.4348239,95,5.0,77,385,34.43245362586241,9,3,"(4.9, inf]","(48.0, 86.0]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Cuisine À Mémé,"17 Rue des Couteliers, Toulouse",Rue des Couteliers,43.5984948,1.4417373,96,4.8,235,1128,34.42112573890433,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'antica pizzeria,"44 Rue du Général Jean Compans, Toulouse",Rue du Général Jean Compans,43.60918820000001,1.455894,97,4.8,231,1108,34.38533750348229,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Entrecôte,"15 Boulevard de Strasbourg, Toulouse",Boulevard de Strasbourg,43.606678,1.4473039,98,4.3,4969,21366,34.38395668600579,3,9,"(4.1, 4.3]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Grand' Pizzeria,"4 Rue Castellane, Toulouse",Rue Castellane,43.604898,1.4501806,100,4.4,2587,11382,34.37630428635279,4,9,"(4.3, 4.4]","(667.0, inf]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l'Apothicaire,"27 Rue Gabriel Péri, Toulouse",Rue Gabriel Péri,43.6061638,1.4537735,102,4.7,407,1912,34.355093723358536,7,7,"(4.6, 4.7]","(283.0, 418.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORTO,"6 Rue Peyras, Toulouse",Rue Peyras,43.6014007,1.4439903,103,4.8,227,1089,34.34892411452699,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel SOCLO Toulouse,"34B Rue Valade, Toulouse",Rue Valade,43.6054495,1.4380012,105,5.0,73,365,34.31661430060228,9,3,"(4.9, inf]","(48.0, 86.0]","['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The George and Dragon,"1 Place du Peyrou, Toulouse",Place du Peyrou,43.607509,1.439481,106,4.5,1323,5953,34.29701929884375,5,9,"(4.4, 4.5]","(667.0, inf]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Café FIKA,"49 Rue du Taur, Toulouse",Rue du Taur,43.6063436,1.4423701,107,4.9,125,612,34.28485906373948,8,4,"(4.7, 4.9]","(86.0, 133.5]","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Malabar Burger,"125 Grande Rue Saint-Michel, Toulouse",Grande Rue Saint-Michel,43.59014899999999,1.4454511,108,4.9,124,607,34.26776625729496,8,4,"(4.7, 4.9]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Emboucaneur,"25 Rue Pharaon, Toulouse",Rue Pharaon,43.596247,1.4441298,110,4.8,217,1041,34.255006722472935,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA SANDIA,"8 Rue Jean Palaprat, Toulouse",Rue Jean Palaprat,43.6048318,1.4524353,111,4.6,695,3196,34.23313010111452,6,9,"(4.5, 4.6]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caminito,"3 Rue des Gestes, Toulouse",Rue des Gestes,43.6031058,1.4423405,113,4.6,680,3127,34.189540998448685,6,9,"(4.5, 4.6]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Ksar,"7 Rue Perchepinte, Toulouse",Rue Perchepinte,43.597152,1.447758,114,4.7,374,1757,34.182496530342256,7,7,"(4.6, 4.7]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Restaurant sans nom,"40bis Rue Peyrolières, Toulouse",Rue Peyrolières,43.6014573,1.4407916,116,4.9,119,583,34.18018011082341,8,4,"(4.7, 4.9]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L' Air de Famille,"6 Rue Jules Chalande, Toulouse",Rue Jules Chalande,43.6021727,1.4442053,118,4.8,208,998,34.16670400782125,8,6,"(4.7, 4.9]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
